id,first_name,last_name,risk,resiliency,risk_calculation,risk_category
2345,Peg,Lindenbluth,51,1,-50,critical
2346,Cynde,Antonomoli,88,59,-29,critical
2347,Vincent,Champ,1,9,8,high
2348,Denver,Gumby,76,14,-62,critical
2349,Quinlan,Saltman,2,57,55,low
2350,Forster,Kiehnlt,10,23,13,high
2351,Portia,Berens,51,67,16,high
2352,Yuri,Guilaem,74,100,26,medium
2353,Mitzi,De Lorenzo,50,67,17,high
2354,Tatiania,Mulvey,86,48,-38,critical
2355,Tisha,McKelvie,4,63,59,low
2356,Dillie,Guiet,85,45,-40,critical
2357,Tad,Savatier,58,98,40,medium
2358,Essie,Routley,85,29,-56,critical
2359,Amaleta,Doxsey,6,67,61,low
2360,Hermione,Ainscough,32,80,48,medium
2361,Revkah,Bamborough,19,63,44,medium
2362,Carmen,Verty,92,5,-87,critical
2363,Lydie,Yankov,74,93,19,high
2364,Noe,Splevin,52,61,9,high
2365,Leslie,Haste,20,84,64,low
2366,Lillis,Estrella,91,28,-63,critical
2367,Nellie,Forge,99,80,-19,critical
2368,Miller,Kirton,8,54,46,medium
2369,Milka,Haliburton,76,86,10,high
2370,Marjy,Becconsall,5,21,16,high
2371,Kaleb,Biggadyke,59,82,23,high
2372,Kennie,Grimsdale,97,9,-88,critical
2373,Bearnard,Brassill,1,27,26,medium
2374,Nissie,Collyear,89,52,-37,critical
2375,Damiano,Keene,86,7,-79,critical
2376,Cairistiona,Farrall,92,58,-34,critical
2377,Lyn,Tregust,22,25,3,high
2378,Cherye,Martineau,34,78,44,medium
2379,Gussi,Aleksankin,34,68,34,medium
2380,Shana,Eefting,45,39,-6,critical
2381,Nev,Gascard,56,55,-1,critical
2382,Glynis,Woan,55,43,-12,critical
2383,Umeko,Keitch,15,53,38,medium
2384,Chadwick,Cantillion,13,6,-7,critical
2385,Caron,Spracklin,42,81,39,medium
2386,Nicole,Keene,68,68,0,high
2387,Lilli,Drinkeld,42,83,41,medium
2388,Vladimir,Pinck,100,89,-11,critical
2389,Sherwynd,Bernardez,7,75,68,low
2390,Gray,Bunner,86,23,-63,critical
2391,Norrie,Donoghue,5,52,47,medium
2392,Brandy,Messier,22,12,-10,critical
2393,Rozanne,Beament,14,76,62,low
2394,Jackqueline,Mannock,70,86,16,high
2395,Agnese,Tippell,22,68,46,medium
2396,Rafael,Iddins,87,25,-62,critical
2397,Hew,Dring,5,2,-3,critical
2398,Ricky,Anan,84,68,-16,critical
2399,Camellia,Kennifick,23,7,-16,critical
2400,Carleton,Birks,98,6,-92,critical
2401,Butch,Winckworth,86,35,-51,critical
2402,Camella,Crossland,86,89,3,high
2403,Jehanna,Baddam,90,31,-59,critical
2404,Christabel,Lobe,96,70,-26,critical
2405,Emilie,Matejic,25,30,5,high
2406,Parke,Crutchley,58,78,20,high
2407,Micheal,Dwyer,9,72,63,low
2408,Bernarr,Zecchini,93,92,-1,critical
2409,Pauly,O'Neal,1,99,98,none
2410,Koral,Elph,50,70,20,high
2411,Adore,Bubb,66,44,-22,critical
2412,Andeee,Chiplin,81,69,-12,critical
2413,Hammad,Brisard,45,1,-44,critical
2414,Marnia,Hatherell,40,82,42,medium
2415,Herold,Abernethy,29,12,-17,critical
2416,Sammy,Skeats,30,86,56,low
2417,Barnaby,Karlmann,73,18,-55,critical
2418,Mallory,Moraleda,31,47,16,high
2419,Suzy,Brampton,78,68,-10,critical
2420,Dinnie,Pavkovic,26,96,70,low
2421,Marion,Danilovich,28,15,-13,critical
2422,Bettye,Sinson,44,95,51,low
2423,Keven,Pavie,16,2,-14,critical
2424,Jeanelle,McColm,51,61,10,high
2425,Dante,Battie,48,26,-22,critical
2426,Joanie,Venour,99,100,1,high
2427,Phillipe,Trenbay,53,24,-29,critical
2428,Cristionna,Lusher,74,8,-66,critical
2429,Kearney,Balbeck,94,80,-14,critical
2430,Margarette,Kohring,13,94,81,none
2431,Boone,Greguol,10,2,-8,critical
2432,Maurine,Lemmers,92,42,-50,critical
2433,Augustine,Devine,52,59,7,high
2434,Smitty,Kennford,76,47,-29,critical
2435,Andra,Sabatier,91,48,-43,critical
2436,Carolee,Brumwell,61,84,23,high
2437,Emmanuel,Swires,47,55,8,high
2438,Konstanze,Gonsalvez,75,63,-12,critical
2439,Troy,Poznanski,61,49,-12,critical
2440,Katusha,Heigl,13,35,22,high
2441,Phil,Grancher,37,65,28,medium
2442,Donalt,Featenby,84,20,-64,critical
2443,Shepherd,Gleed,75,46,-29,critical
2444,Averyl,Guyon,14,58,44,medium
2445,Nariko,Philipps,12,96,84,none
2446,Bealle,Harryman,54,42,-12,critical
2447,Amalea,Burmaster,3,14,11,high
2448,Aldon,MacCollom,12,28,16,high
2449,Collie,Delamar,38,21,-17,critical
2450,Alden,Wear,6,84,78,none
2451,Whitney,Everington,83,32,-51,critical
2452,Beverie,Brandoni,31,52,21,high
2453,Evelin,MacDiarmid,23,66,43,medium
2454,Andrea,Waterhous,32,67,35,medium
2455,Frazier,Coram,86,40,-46,critical
2456,Dodi,Dullard,32,82,50,low
2457,Betti,Stollmeyer,15,70,55,low
2458,Matelda,Kubera,11,53,42,medium
2459,Ynes,Grubb,96,69,-27,critical
2460,Reade,Marjot,22,61,39,medium
2461,Padraig,Softley,96,45,-51,critical
2462,Liane,Culverhouse,91,88,-3,critical
2463,Darya,Dulany,42,32,-10,critical
2464,Rory,Bearcroft,68,8,-60,critical
2465,Brinn,Di Carli,97,36,-61,critical
2466,Vicky,Troucher,46,87,41,medium
2467,Elli,Dace,39,90,51,low
2468,Malcolm,MacBrearty,85,64,-21,critical
2469,Tonie,Woodrooffe,21,75,54,low
2470,Daren,Euler,90,73,-17,critical
2471,Nessy,Torrisi,32,50,18,high
2472,Dell,Mournian,24,9,-15,critical
2473,Alisha,Deeprose,16,74,58,low
2474,Laughton,Hurles,8,5,-3,critical
2475,Vincent,Wardel,89,4,-85,critical
2476,Sonnie,Pallent,13,46,33,medium
2477,Glenn,Castellan,11,17,6,high
2478,Nathanil,Deroche,10,59,49,medium
2479,Arlinda,Checcuzzi,27,78,51,low
2480,Annamaria,Devons,14,45,31,medium
2481,Agnella,Brawn,38,30,-8,critical
2482,Aggie,Joutapavicius,56,25,-31,critical
2483,Mari,Kiln,8,12,4,high
2484,Shawna,Aberkirdo,74,53,-21,critical
2485,Audrey,Melby,94,12,-82,critical
2486,Sally,Feyer,24,34,10,high
2487,Helenelizabeth,Sapsed,83,19,-64,critical
2488,Augustine,Kienle,28,64,36,medium
2489,Adaline,Seamarke,23,67,44,medium
2490,Padriac,Wilkinson,52,14,-38,critical
2491,Zilvia,MacKonochie,94,92,-2,critical
2492,Berton,Bradbury,3,11,8,high
2493,Caryn,Giovanizio,74,88,14,high
2494,Klemens,Glazer,53,99,46,medium
2495,Lesly,Charrington,20,1,-19,critical
2496,Jerrilyn,Sweatman,58,43,-15,critical
2497,Ginevra,Dering,6,61,55,low
2498,Raddie,Vickerstaff,62,91,29,medium
2499,Lawton,Vear,84,37,-47,critical
2500,Osbert,Pagon,58,66,8,high
2501,Darya,Blandamere,68,61,-7,critical
2502,Jeanette,Shearston,52,60,8,high
2503,Loria,Blunden,15,1,-14,critical
2504,Lelah,Erett,61,3,-58,critical
2505,Gabby,Danis,88,97,9,high
2506,Eldin,Gyppes,52,79,27,medium
2507,Alissa,Jacobi,35,62,27,medium
2508,Kasey,Bassilashvili,1,70,69,low
2509,Paige,Finlaison,45,92,47,medium
2510,Ulric,Livingston,23,90,67,low
2511,Shela,Edmondson,76,63,-13,critical
2512,Armin,Burnet,10,94,84,none
2513,Rodger,Chomiszewski,47,32,-15,critical
2514,Spencer,Waine,67,8,-59,critical
2515,Creighton,Gyorgy,20,69,49,medium
2516,Archy,Birnie,38,98,60,low
2517,Agnesse,Ceeley,75,37,-38,critical
2518,Davon,Bolitho,13,85,72,low
2519,Orella,Nelson,63,56,-7,critical
2520,Aviva,Orfeur,93,92,-1,critical
2521,Ibby,Lefeaver,21,27,6,high
2522,Fonz,Coning,43,52,9,high
2523,Bentlee,Aberchirder,13,95,82,none
2524,Olympie,Alps,21,24,3,high
2525,Halimeda,Seegar,100,85,-15,critical
2526,Lissa,Claypool,43,46,3,high
2527,Harriot,Barnewelle,18,31,13,high
2528,Lorine,Creed,53,5,-48,critical
2529,Andie,O' Cuolahan,18,24,6,high
2530,Pat,Casemore,80,51,-29,critical
2531,Micaela,Rudgley,16,70,54,low
2532,Hilliard,Lesley,28,91,63,low
2533,Wynnie,Dicky,43,34,-9,critical
2534,Carrol,Stidever,61,27,-34,critical
2535,Homerus,Normington,72,42,-30,critical
2536,Berkie,Cockley,57,75,18,high
2537,Tulley,Larmouth,38,90,52,low
2538,Wolfgang,Pillman,50,52,2,high
2539,Ilka,Woodhead,85,8,-77,critical
2540,Ania,Duran,48,90,42,medium
2541,Cassi,Spafford,31,38,7,high
2542,Tedda,Wharton,72,9,-63,critical
2543,Aura,Dunderdale,33,54,21,high
2544,Jodie,Kinnie,43,66,23,high
2545,Towny,Anwyl,52,24,-28,critical
2546,Rosanna,Dinsmore,44,42,-2,critical
2547,Emelen,Bakeup,100,69,-31,critical
2548,Hunt,Largent,49,20,-29,critical
2549,Marcella,Pimm,11,53,42,medium
2550,Milo,Jennings,99,73,-26,critical
2551,Maureene,Muckley,98,95,-3,critical
2552,Seka,Ogilvy,57,96,39,medium
2553,Gabrila,Tirone,69,40,-29,critical
2554,Miguel,Tregona,7,2,-5,critical
2555,Berkie,Copyn,43,76,33,medium
2556,Bonnibelle,Walkinshaw,9,94,85,none
2557,Corenda,Bendel,55,33,-22,critical
2558,Amelie,Roncelli,46,7,-39,critical
2559,Dredi,Espy,11,15,4,high
2560,Lizabeth,McGerr,93,87,-6,critical
2561,Kory,Carlon,94,79,-15,critical
2562,Corissa,Ebhardt,48,26,-22,critical
2563,Fionna,Atwel,5,81,76,none
2564,Nan,Murt,26,65,39,medium
2565,Nicoli,Dellatorre,1,60,59,low
2566,Dukie,Becket,83,77,-6,critical
2567,Steward,Tripp,3,61,58,low
2568,Vale,Crates,69,61,-8,critical
2569,Stephen,Parker,19,66,47,medium
2570,Corbett,Rowet,79,3,-76,critical
2571,Charmain,Burgill,41,56,15,high
2572,Pearla,Olivia,12,40,28,medium
2573,Bard,Slyford,100,95,-5,critical
2574,Alexio,Megarry,88,64,-24,critical
2575,Felicio,Hartegan,50,71,21,high
2576,Nico,Busher,93,5,-88,critical
2577,Jacklin,MacGinney,99,33,-66,critical
2578,Alexis,Baile,12,65,53,low
2579,Fifi,Lentsch,71,100,29,medium
2580,Isadore,Pietraszek,89,60,-29,critical
2581,Sari,Lewcock,5,35,30,medium
2582,Marylin,Ceyssen,26,86,60,low
2583,Kort,Adao,92,41,-51,critical
2584,Reeva,Martill,95,36,-59,critical
2585,Austine,Stovin,50,7,-43,critical
2586,Sutton,Tipling,57,58,1,high
2587,Dru,Ibbitt,11,12,1,high
2588,Livia,Stedell,95,64,-31,critical
2589,Lemmie,Gofton,28,73,45,medium
2590,Farand,Simmig,43,53,10,high
2591,Terry,Gecke,49,44,-5,critical
2592,Isabelle,Stidworthy,32,98,66,low
2593,Dinah,Etuck,69,48,-21,critical
2594,Paige,Aberhart,69,68,-1,critical
2595,Carlota,Gabbitas,56,11,-45,critical
2596,Suzann,Scarsbrook,79,31,-48,critical
2597,Peirce,Newgrosh,98,13,-85,critical
2598,Garrott,Portlock,18,37,19,high
2599,Dasya,Murfin,25,4,-21,critical
2600,Evaleen,Scawn,47,78,31,medium
2601,Missie,Olliar,38,6,-32,critical
2602,Natalee,Oxshott,79,1,-78,critical
2603,Elysia,Westfalen,74,9,-65,critical
2604,Ly,Leeman,21,59,38,medium
2605,Corney,Edbrooke,60,22,-38,critical
2606,Guido,Ruff,63,62,-1,critical
2607,Phoebe,Georgeson,38,20,-18,critical
2608,Udale,Manoch,19,63,44,medium
2609,Kalindi,Anetts,30,65,35,medium
2610,Ethelbert,Muffitt,7,29,22,high
2611,Julio,Stavers,72,21,-51,critical
2612,Bess,Melia,56,60,4,high
2613,Cecile,Fleg,46,93,47,medium
2614,Shaun,Churchin,81,93,12,high
2615,Beale,Cronshaw,39,52,13,high
2616,Earlie,Milley,68,50,-18,critical
2617,Nichole,Acarson,84,54,-30,critical
2618,Naomi,Dayborne,13,46,33,medium
2619,Jeri,Dealey,98,88,-10,critical
2620,Colleen,Gladwin,28,72,44,medium
2621,Nelli,Heppenspall,46,31,-15,critical
2622,Lawry,Toombes,97,44,-53,critical
2623,Domeniga,Phythian,15,74,59,low
2624,Lizzie,Billows,92,70,-22,critical
2625,Judy,Tasch,4,25,21,high
2626,Burch,McNirlin,52,53,1,high
2627,Delia,Whitecross,63,92,29,medium
2628,Reade,Potkin,92,52,-40,critical
2629,Lily,Kos,21,76,55,low
2630,De witt,Mewha,96,20,-76,critical
2631,Rosmunda,Debill,81,75,-6,critical
2632,Constantia,Daughton,70,90,20,high
2633,Britt,Oldroyde,13,22,9,high
2634,Alissa,Fardoe,99,48,-51,critical
2635,Bunni,Jeffcoate,58,73,15,high
2636,Brander,Rymell,30,40,10,high
2637,Baryram,Codron,8,56,48,medium
2638,Enoch,Peterken,81,74,-7,critical
2639,Brandais,Foster,86,36,-50,critical
2640,Fitz,Bugdall,50,66,16,high
2641,Deni,Westwick,19,87,68,low
2642,Burnard,Rodenhurst,23,78,55,low
2643,Woodie,Cavanaugh,55,18,-37,critical
2644,Leisha,Lasty,16,53,37,medium
2645,Gabie,Hobben,25,26,1,high
2646,Waite,Fedder,15,29,14,high
2647,Basile,Neagle,61,63,2,high
2648,Othilie,Stitfall,79,49,-30,critical
2649,Nowell,Allport,76,86,10,high
2650,Berta,Maiklem,57,1,-56,critical
2651,Guy,Tooze,48,40,-8,critical
2652,Yolanthe,Winton,27,87,60,low
2653,Jacky,Mandry,32,16,-16,critical
2654,Lennie,McKeggie,49,93,44,medium
2655,Koenraad,Attkins,97,82,-15,critical
2656,Pru,Kinman,38,40,2,high
2657,Cloris,Duval,88,2,-86,critical
2658,Sayres,Duding,16,32,16,high
2659,Salem,Bever,56,23,-33,critical
2660,Patten,Winnister,83,71,-12,critical
2661,Guilbert,Hansbury,44,28,-16,critical
2662,Arline,D'Enrico,67,53,-14,critical
2663,Vivienne,Carratt,31,52,21,high
2664,Felicdad,Free,86,22,-64,critical
2665,Tanya,Bartelli,34,60,26,medium
2666,Mason,Haet,73,74,1,high
2667,Myriam,Tonkin,95,21,-74,critical
2668,Emma,Pulley,54,2,-52,critical
2669,Rhodie,Powling,75,61,-14,critical
2670,Hewitt,Pfaff,98,94,-4,critical
2671,Christyna,Freezor,14,65,51,low
2672,Bobbie,Asprey,82,36,-46,critical
2673,Laurice,Bootland,42,85,43,medium
2674,Tybie,Sarah,40,67,27,medium
2675,Nedi,Abbey,91,77,-14,critical
2676,Kassey,Westley,63,77,14,high
2677,Gretta,Elletson,100,65,-35,critical
2678,Christiana,Droogan,49,30,-19,critical
2679,Amby,Penylton,74,72,-2,critical
2680,Berty,Kohen,39,70,31,medium
2681,Kin,Lamberteschi,38,70,32,medium
2682,Alexis,Callister,67,84,17,high
2683,Joelie,Aldgate,51,88,37,medium
2684,Rebe,Caron,23,1,-22,critical
2685,Kaleb,Victor,41,82,41,medium
2686,Cassy,Wrixon,60,42,-18,critical
2687,Cliff,Haley,58,13,-45,critical
2688,Coop,Matuszinski,68,63,-5,critical
2689,Sterling,Heasly,3,58,55,low
2690,Sonja,Ragles,30,67,37,medium
2691,Atalanta,Speechly,15,77,62,low
2692,Arlan,Trass,36,32,-4,critical
2693,Boycie,Shmyr,35,35,0,high
2694,Sinclare,Farraway,47,15,-32,critical
2695,Casey,Whitewood,68,19,-49,critical
2696,Carlin,Kleinplatz,53,16,-37,critical
2697,Esme,Reith,89,34,-55,critical
2698,Sigismondo,Stamper,59,7,-52,critical
2699,Lonna,Lambot,21,20,-1,critical
2700,Sheppard,Wimpress,43,84,41,medium
2701,Isabelita,Boolsen,65,86,21,high
2702,Doris,Fosten,6,77,71,low
2703,Cornelius,Went,16,8,-8,critical
2704,Melitta,Lindeberg,92,60,-32,critical
2705,Ives,Reace,91,16,-75,critical
2706,Viviyan,Eyam,26,15,-11,critical
2707,Kala,Jursch,10,76,66,low
2708,Trent,Morsom,74,96,22,high
2709,Joell,O'Concannon,90,96,6,high
2710,Ripley,Gaskin,60,73,13,high
2711,Leeann,Bumpas,59,20,-39,critical
2712,Hoebart,Abernethy,47,26,-21,critical
2713,Marillin,Barley,34,75,41,medium
2714,Sibella,Hender,74,72,-2,critical
2715,Hugues,McCadden,46,65,19,high
2716,Had,Seniour,24,2,-22,critical
2717,Maud,Barclay,60,72,12,high
2718,Simeon,Westby,57,61,4,high
2719,Marylynne,Alywen,14,3,-11,critical
2720,Ryan,Shavel,16,45,29,medium
2721,Cari,O'Shevlan,18,5,-13,critical
2722,Jojo,Sillis,37,67,30,medium
2723,Faunie,Ferneyhough,22,32,10,high
2724,Yancey,Muzzlewhite,59,29,-30,critical
2725,Garvin,Wartonby,45,68,23,high
2726,Nikos,Woolsey,51,39,-12,critical
2727,Grover,Swindlehurst,53,59,6,high
2728,Hall,Roft,100,22,-78,critical
2729,Ripley,Joynson,24,93,69,low
2730,Deck,Gooddie,40,74,34,medium
2731,Rod,Haye,69,96,27,medium
2732,Lothario,Ashleigh,64,46,-18,critical
2733,Mikey,Melly,85,17,-68,critical
2734,Cherry,Crannach,64,27,-37,critical
2735,Eldon,Meininger,97,61,-36,critical
2736,Krispin,Fearnill,67,95,28,medium
2737,Gerhardine,Saunter,51,37,-14,critical
2738,Virgilio,Hayland,49,98,49,medium
2739,Godfree,Brackenbury,53,71,18,high
2740,Wheeler,Cawley,94,42,-52,critical
2741,Melanie,Hoonahan,75,60,-15,critical
2742,Torry,McCuish,46,95,49,medium
2743,Tatiania,Barniss,23,58,35,medium
2744,Pernell,Godehard.sf,75,67,-8,critical
2745,Reginauld,Moggie,68,63,-5,critical
2746,Christie,Caulier,82,51,-31,critical
2747,Roseanne,Dunniom,71,55,-16,critical
2748,Jayson,Scranney,32,94,62,low
2749,Elke,Filippello,71,72,1,high
2750,Yank,Aliberti,69,13,-56,critical
2751,Trudi,McGavigan,41,42,1,high
2752,Viole,Mowsley,21,78,57,low
2753,Breena,Lope,46,81,35,medium
2754,Charis,Karel,74,48,-26,critical
2755,Lutero,Stoker,43,63,20,high
2756,Valene,Sailer,78,66,-12,critical
2757,Winni,Titcom,96,25,-71,critical
2758,Ruthe,Croke,25,41,16,high
2759,Syd,Shapiro,18,96,78,none
2760,Dimitri,Trobridge,51,41,-10,critical
2761,Wake,Eady,33,21,-12,critical
2762,Sacha,Haddleton,37,45,8,high
2763,Jessica,Schulken,35,21,-14,critical
2764,Felicle,Pavlasek,61,20,-41,critical
2765,Agnesse,Carus,34,76,42,medium
2766,Belicia,Gurnett,79,1,-78,critical
2767,Malinda,Wade,63,30,-33,critical
2768,Bearnard,Stebbings,10,41,31,medium
2769,Hyacintha,Mattosoff,80,38,-42,critical
2770,Blanche,Greiser,24,73,49,medium
2771,Terry,Fabbri,73,41,-32,critical
2772,Norina,Arboine,66,81,15,high
2773,Edvard,Greenlies,44,93,49,medium
2774,Norton,Heugh,16,85,69,low
2775,Astrix,Tale,55,99,44,medium
2776,Morrie,Menhci,72,82,10,high
2777,Duncan,Howkins,44,49,5,high
2778,Sloan,Philpault,67,97,30,medium
2779,Emlynn,Blanche,34,72,38,medium
2780,Glennie,Curtiss,6,51,45,medium
2781,Dona,Goldspink,24,76,52,low
2782,Whit,Guislin,74,17,-57,critical
2783,Orran,Waison,44,33,-11,critical
2784,Ulberto,Lumsdon,81,41,-40,critical
2785,Jolene,Platfoot,34,17,-17,critical
2786,Piotr,Russi,55,83,28,medium
2787,Gianina,Bundock,10,72,62,low
2788,Kent,Zannelli,89,10,-79,critical
2789,Suellen,Pervew,40,34,-6,critical
2790,Rosy,Sinkings,92,74,-18,critical
2791,Jolee,Goulborn,8,63,55,low
2792,Genni,Silver,80,97,17,high
2793,Loni,Ayllett,100,3,-97,critical
2794,Prinz,Correa,55,26,-29,critical
2795,Andrus,McGettrick,26,75,49,medium
2796,Karrie,Brockett,3,44,41,medium
2797,Mikel,Logsdail,1,40,39,medium
2798,Cherry,Crosen,44,13,-31,critical
2799,Elinor,Defew,88,79,-9,critical
2800,Dolores,Robotham,57,22,-35,critical
2801,Lilia,Spark,27,86,59,low
2802,Elberta,Dunniom,73,66,-7,critical
2803,Glenn,Widdowson,17,18,1,high
2804,Trudi,Paulazzi,67,33,-34,critical
2805,Harp,Doig,45,13,-32,critical
2806,Gabie,Connichie,40,61,21,high
2807,Ebba,Celle,38,35,-3,critical
2808,Asher,Tather,21,88,67,low
2809,Cheston,Blancowe,27,13,-14,critical
2810,Mannie,Merrisson,75,42,-33,critical
2811,Luci,Courtney,49,71,22,high
2812,Lulita,O'Beirne,71,64,-7,critical
2813,Tasha,Craze,10,78,68,low
2814,Gertrud,Andreoletti,19,19,0,high
2815,Jeanna,Palatino,25,59,34,medium
2816,Red,Crowcroft,44,59,15,high
2817,Bessy,Wilfing,41,71,30,medium
2818,Mathilde,Hammon,73,45,-28,critical
2819,Maryanne,Appleford,6,28,22,high
2820,Xever,Habershon,18,7,-11,critical
2821,Jonie,Bowmen,23,69,46,medium
2822,Orelee,Galgey,56,78,22,high
2823,Tobe,Willars,22,92,70,low
2824,Mandie,Dwire,5,29,24,high
2825,Kirby,Bisiker,21,37,16,high
2826,Devonna,Marwood,15,6,-9,critical
2827,Dorene,Rands,68,60,-8,critical
2828,Bess,Shurmer,52,69,17,high
2829,Nat,Hallam,88,69,-19,critical
2830,Nels,Folds,58,16,-42,critical
2831,Lorrin,Wynrehame,55,46,-9,critical
2832,Lucias,Troctor,45,76,31,medium
2833,Adoree,Driuzzi,10,87,77,none
2834,Winnie,Docket,13,59,46,medium
2835,Rosalind,Saiger,84,98,14,high
2836,Marjie,Merry,44,7,-37,critical
2837,Sarette,Blackaller,100,30,-70,critical
2838,D'arcy,Goadby,91,28,-63,critical
2839,Luther,Criag,36,78,42,medium
2840,Bernadine,Gymlett,56,7,-49,critical
2841,Chastity,Dudding,27,22,-5,critical
2842,Grove,Corradeschi,73,65,-8,critical
2843,Ernaline,McShirrie,47,42,-5,critical
2844,Chev,Seller,85,52,-33,critical
2845,Ewen,McDonand,66,93,27,medium
2846,Raven,Beddis,63,81,18,high
2847,Wells,Franciotti,67,58,-9,critical
2848,Philly,Semour,19,72,53,low
2849,Sterne,Stoop,67,29,-38,critical
2850,Isidora,Janak,78,68,-10,critical
2851,Alma,Sarra,32,81,49,medium
2852,Aubine,Pawsey,56,78,22,high
2853,Hilary,Klaggeman,12,7,-5,critical
2854,Galina,Gery,30,4,-26,critical
2855,Emogene,Rosario,4,3,-1,critical
2856,Ailene,Crush,73,22,-51,critical
2857,Molli,Yegorov,71,73,2,high
2858,Drusilla,Worsnop,43,28,-15,critical
2859,Langston,de Glanville,57,85,28,medium
2860,Guilbert,Sprowson,80,52,-28,critical
2861,Erskine,Belsher,57,60,3,high
2862,Rosemary,Matthews,35,33,-2,critical
2863,Demeter,Redhole,75,65,-10,critical
2864,Heather,Filipowicz,64,49,-15,critical
2865,Rose,Letten,26,69,43,medium
2866,Ario,Huggard,3,26,23,high
2867,Elisabetta,Gontier,46,34,-12,critical
2868,Aguste,Durrett,65,47,-18,critical
2869,Dinah,Halsall,28,16,-12,critical
2870,Skip,Sewall,42,65,23,high
2871,Linc,Cullon,34,81,47,medium
2872,Nap,Downgate,52,100,48,medium
2873,Farlay,Plume,89,46,-43,critical
2874,Bernie,Aguirrezabala,32,16,-16,critical
2875,Karl,Preddy,82,36,-46,critical
2876,Hephzibah,Rossander,16,72,56,low
2877,Marcie,Flahy,46,15,-31,critical
2878,Erika,Billingsly,37,77,40,medium
2879,Lyon,Atack,54,5,-49,critical
2880,Bobbie,Constanza,91,33,-58,critical
2881,Fabian,Kilvington,14,66,52,low
2882,Calypso,Mc Queen,63,11,-52,critical
2883,Abel,Battill,64,12,-52,critical
2884,Mirabel,Bordman,14,81,67,low
2885,Esma,Colliford,76,92,16,high
2886,Bryn,Jessop,98,53,-45,critical
2887,Lorin,Clipson,9,57,48,medium
2888,Cathe,Garfoot,100,57,-43,critical
2889,Linnie,Tomlin,30,93,63,low
2890,Ignacio,Whitchurch,86,61,-25,critical
2891,Bernie,Phebey,64,64,0,high
2892,Xylina,Leall,1,80,79,none
2893,Monti,des Remedios,52,10,-42,critical
2894,Leonerd,Hasling,92,31,-61,critical
2895,Sherlock,Shillan,58,82,24,high
2896,Donall,Bermingham,82,82,0,high
2897,Neda,Barradell,86,59,-27,critical
2898,Gale,Zimek,65,32,-33,critical
2899,Donal,Darth,16,20,4,high
2900,Lilith,Gonsalvez,79,72,-7,critical
2901,Kele,Davis,68,12,-56,critical
2902,Danie,Boshier,63,94,31,medium
2903,Doy,Death,56,36,-20,critical
2904,Suzann,Rubertelli,29,44,15,high
2905,Pavlov,Dallin,83,67,-16,critical
2906,Henri,Swinley,29,59,30,medium
2907,Gene,Maddison,20,81,61,low
2908,Omero,Schust,32,42,10,high
2909,Nadean,Moorhead,64,43,-21,critical
2910,Tedd,Dewberry,73,12,-61,critical
2911,Barty,Place,2,75,73,low
2912,Brigid,Korous,99,76,-23,critical
2913,Lara,Leydon,71,52,-19,critical
2914,Hercules,Quartley,26,80,54,low
2915,Othelia,Tollemache,82,47,-35,critical
2916,Moina,Turk,88,64,-24,critical
2917,Romy,Kiss,80,81,1,high
2918,Shannon,Liverock,1,65,64,low
2919,Gibby,Phillips,100,10,-90,critical
2920,Coraline,Haugen,91,74,-17,critical
2921,Leontyne,Stiebler,26,85,59,low
2922,Cynthy,Van Giffen,12,40,28,medium
2923,Winn,Dunnet,44,28,-16,critical
2924,Sanderson,Woollaston,38,47,9,high
2925,Jessee,Paunton,19,56,37,medium
2926,Cyndy,Tomkin,69,69,0,high
2927,Charmane,Cornu,77,71,-6,critical
2928,Cari,Smetoun,33,10,-23,critical
2929,Casey,Breadmore,12,33,21,high
2930,Frasquito,Ongin,15,100,85,none
2931,Reuven,Dillow,56,37,-19,critical
2932,Currie,Eddow,56,67,11,high
2933,Dorolisa,Barnardo,84,62,-22,critical
2934,Harri,Savins,36,46,10,high
2935,Libbie,Rackley,6,12,6,high
2936,Eda,Boyn,46,72,26,medium
2937,Marquita,Camel,67,94,27,medium
2938,Cissiee,Osmant,8,13,5,high
2939,Miltie,Gaize,15,52,37,medium
2940,Liesa,Yakushkin,27,57,30,medium
2941,Philbert,Cheesworth,67,60,-7,critical
2942,Meredith,Wickendon,99,8,-91,critical
2943,Jaquith,Camillo,100,2,-98,critical
2944,Amelita,Bleakman,85,34,-51,critical
2945,Eda,Iannuzzelli,71,32,-39,critical
2946,Edan,Brewitt,96,29,-67,critical
2947,Craggie,Annies,25,7,-18,critical
2948,Cosmo,Kirsop,47,87,40,medium
2949,Waylen,Garey,50,59,9,high
2950,Ryann,Lufkin,61,94,33,medium
2951,Oren,Pepper,76,49,-27,critical
2952,Tessy,Cann,36,59,23,high
2953,Gordy,Daughtry,2,50,48,medium
2954,Petey,Healey,29,25,-4,critical
2955,Rosita,Wimmers,37,92,55,low
2956,Mohammed,Campbell-Dunlop,36,84,48,medium
2957,Olvan,Philimore,92,95,3,high
2958,Davine,Aymerich,82,4,-78,critical
2959,Ella,Charlin,39,23,-16,critical
2960,Minetta,Rickert,75,94,19,high
2961,Steve,Twigger,12,41,29,medium
2962,Violette,Espasa,22,4,-18,critical
2963,Thatch,Meech,39,20,-19,critical
2964,Luz,Donoghue,69,58,-11,critical
2965,Heall,Semonin,8,47,39,medium
2966,Thadeus,Rentcome,51,95,44,medium
